schema	fixture	expect
contracts/registry/capability.vocabulary.v1.yaml	contracts/fixtures/C-CAP-VOCAB-1/valid-001.yaml	accept
contracts/registry/capability.vocabulary.v1.yaml	contracts/fixtures/C-CAP-VOCAB-1/invalid-001.yaml	reject
contracts/registry/people.registry.v1.json	contracts/fixtures/C-REG-PEOPLE-1/valid-001.yaml	accept
contracts/registry/people.registry.v1.json	contracts/fixtures/C-REG-PEOPLE-1/invalid-001.yaml	reject
contracts/registry/people.registry.v1.json	contracts/fixtures/C-REG-PEOPLE-1/invalid-002.yaml	reject
contracts/registry/people.registry.v1.json	contracts/fixtures/C-REG-PEOPLE-1/invalid-003.yaml	reject
contracts/registry/roles.registry.v1.json	contracts/fixtures/C-REG-ROLES-1/valid-001.yaml	accept
contracts/registry/roles.registry.v1.json	contracts/fixtures/C-REG-ROLES-1/invalid-001.yaml	reject
contracts/registry/product.contract.v2.json	contracts/fixtures/C-REG-PRODUCT-2/valid-001.yaml	accept
contracts/registry/product.contract.v2.json	contracts/fixtures/C-REG-PRODUCT-2/invalid-001.yaml	reject
contracts/registry/product.contract.v2.json	contracts/fixtures/C-REG-PRODUCT-2/invalid-002.yaml	reject
contracts/registry/product.contract.v2.json	contracts/fixtures/C-REG-PRODUCT-2/invalid-003.yaml	reject
contracts/registry/product.contract.v2.json	contracts/fixtures/C-REG-PRODUCT-2/invalid-004.yaml	reject
contracts/registry/product.contract.v2.json	contracts/fixtures/C-REG-PRODUCT-2/invalid-005.yaml	reject
contracts/registry/verification.contract.v1.json	contracts/fixtures/C-REG-VERIFICATION-1/valid-001.yaml	accept
contracts/registry/verification.contract.v1.json	contracts/fixtures/C-REG-VERIFICATION-1/invalid-001.yaml	reject
contracts/registry/verification.contract.v1.json	contracts/fixtures/C-REG-VERIFICATION-1/invalid-002.yaml	reject
contracts/registry/service.contract.v1.json	contracts/fixtures/C-REG-SERVICE-1/invalid-001.yaml	reject
contracts/registry/service.contract.v1.json	contracts/fixtures/C-REG-SERVICE-1/invalid-002.yaml	reject
contracts/registry/topology.registry.v1.json	contracts/fixtures/C-REG-TOPOLOGY-1/invalid-001.yaml	reject
contracts/registry/topology.registry.v1.json	contracts/fixtures/C-REG-TOPOLOGY-1/invalid-002.yaml	reject
contracts/registry/platform.record.v1.json	contracts/fixtures/C-REG-PLATFORM-1/invalid-001.yaml	reject
contracts/registry/platform.record.v1.json	contracts/fixtures/C-REG-PLATFORM-1/invalid-002.yaml	reject
contracts/records/record.envelope.v1.json	contracts/fixtures/C-REC-ENV-1/valid-001.yaml	accept
contracts/records/record.envelope.v1.json	contracts/fixtures/C-REC-ENV-1/valid-002.yaml	accept
contracts/records/record.envelope.v1.json	contracts/fixtures/C-REC-ENV-1/valid-003.yaml	accept
contracts/records/record.envelope.v1.json	contracts/fixtures/C-REC-ENV-1/invalid-001.yaml	reject
contracts/records/record.envelope.v1.json	contracts/fixtures/C-REC-ENV-1/invalid-002.yaml	reject
contracts/records/record.envelope.v1.json	contracts/fixtures/C-REC-ENV-1/invalid-003.yaml	reject
contracts/records/event.envelope.v1.json	contracts/fixtures/C-EVT-ENV-1/valid-001.yaml	accept
contracts/records/event.envelope.v1.json	contracts/fixtures/C-EVT-ENV-1/invalid-001.yaml	reject
contracts/records/event.envelope.v1.json	contracts/fixtures/C-EVT-ENV-1/invalid-002.yaml	reject
contracts/records/event.envelope.v1.json	contracts/fixtures/C-EVT-ENV-1/invalid-003.yaml	reject
contracts/records/event.envelope.v1.json	contracts/fixtures/C-EVT-ENV-1/invalid-004.yaml	reject
contracts/workflows/reusable-workflow.interface.v1.yaml	contracts/fixtures/C-WF-IFACE-1/valid-001.yaml	accept
contracts/workflows/reusable-workflow.interface.v1.yaml	contracts/fixtures/C-WF-IFACE-1/invalid-001.yaml	reject
contracts/workflows/reusable-workflow.interface.v1.yaml	contracts/fixtures/C-WF-IFACE-1/invalid-002.yaml	reject
contracts/workflows/reusable-workflow.interface.v1.yaml	contracts/fixtures/C-WF-IFACE-1/invalid-003.yaml	reject
contracts/workflows/required-checks.v1.yaml	contracts/fixtures/C-WF-CHECKS-1/valid-001.yaml	accept
contracts/workflows/required-checks.v1.yaml	contracts/fixtures/C-WF-CHECKS-1/invalid-001.yaml	reject
contracts/workflows/required-checks.v1.yaml	contracts/fixtures/C-WF-CHECKS-1/invalid-002.yaml	reject
contracts/workflows/secret-tiers.v1.yaml	contracts/fixtures/C-WF-SECRETS-1/valid-001.yaml	accept
contracts/workflows/secret-tiers.v1.yaml	contracts/fixtures/C-WF-SECRETS-1/invalid-001.yaml	reject
contracts/workflows/secret-tiers.v1.yaml	contracts/fixtures/C-WF-SECRETS-1/invalid-002.yaml	reject
contracts/workflows/secret-tiers.v1.yaml	contracts/fixtures/C-WF-SECRETS-1/invalid-003.yaml	reject
contracts/workflows/evidence-chain.v1.yaml	contracts/fixtures/C-WF-EVIDENCE-1/valid-001.yaml	accept
contracts/workflows/evidence-chain.v1.yaml	contracts/fixtures/C-WF-EVIDENCE-1/invalid-001.yaml	reject
contracts/workflows/evidence-chain.v1.yaml	contracts/fixtures/C-WF-EVIDENCE-1/invalid-002.yaml	reject
contracts/reconciler/comparison-set.v1.yaml	contracts/fixtures/C-RECON-SET-1/valid-001.yaml	accept
contracts/reconciler/comparison-set.v1.yaml	contracts/fixtures/C-RECON-SET-1/invalid-001.yaml	reject
contracts/reconciler/comparison-set.v1.yaml	contracts/fixtures/C-RECON-SET-1/invalid-002.yaml	reject
contracts/reconciler/drift-finding.v1.json	contracts/fixtures/C-RECON-FIND-1/valid-001.yaml	accept
contracts/reconciler/drift-finding.v1.json	contracts/fixtures/C-RECON-FIND-1/invalid-001.yaml	reject
contracts/reconciler/drift-finding.v1.json	contracts/fixtures/C-RECON-FIND-1/invalid-002.yaml	reject
contracts/reconciler/drift-finding.v1.json	contracts/fixtures/C-RECON-FIND-1/invalid-003.yaml	reject
contracts/reconciler/drift-finding.v1.json	contracts/fixtures/C-RECON-FIND-1/invalid-004.yaml	reject
contracts/reconciler/repair-record.v1.json	contracts/fixtures/C-RECON-REPAIR-1/valid-001.yaml	accept
contracts/reconciler/repair-record.v1.json	contracts/fixtures/C-RECON-REPAIR-1/invalid-001.yaml	reject
contracts/reconciler/repair-record.v1.json	contracts/fixtures/C-RECON-REPAIR-1/invalid-002.yaml	reject
contracts/reconciler/repair-record.v1.json	contracts/fixtures/C-RECON-REPAIR-1/invalid-003.yaml	reject
contracts/provisioning/operation.v1.yaml	contracts/fixtures/C-PROV-OP-1/valid-001.yaml	accept
contracts/provisioning/operation.v1.yaml	contracts/fixtures/C-PROV-OP-1/invalid-001.yaml	reject
contracts/provisioning/operation.v1.yaml	contracts/fixtures/C-PROV-OP-1/invalid-002.yaml	reject
contracts/provisioning/operation.v1.yaml	contracts/fixtures/C-PROV-OP-1/invalid-003.yaml	reject
contracts/provisioning/operation.v1.yaml	contracts/fixtures/C-PROV-OP-1/invalid-004.yaml	reject
contracts/access/permission-model.v1.yaml	contracts/fixtures/C-ACC-PERM-1/valid-001.yaml	accept
contracts/access/permission-model.v1.yaml	contracts/fixtures/C-ACC-PERM-1/invalid-001.yaml	reject
contracts/access/permission-model.v1.yaml	contracts/fixtures/C-ACC-PERM-1/invalid-002.yaml	reject
contracts/access/protection.template.v1.yaml	contracts/fixtures/C-ACC-PROT-1/valid-001.yaml	accept
contracts/access/protection.template.v1.yaml	contracts/fixtures/C-ACC-PROT-1/invalid-001.yaml	reject
contracts/access/protection.template.v1.yaml	contracts/fixtures/C-ACC-PROT-1/invalid-002.yaml	reject
contracts/access/protection.template.v1.yaml	contracts/fixtures/C-ACC-PROT-1/invalid-003.yaml	reject
contracts/access/layer-split.v1.yaml	contracts/fixtures/C-ACC-LAYER-1/valid-001.yaml	accept
contracts/access/layer-split.v1.yaml	contracts/fixtures/C-ACC-LAYER-1/invalid-001.yaml	reject
contracts/access/layer-split.v1.yaml	contracts/fixtures/C-ACC-LAYER-1/invalid-002.yaml	reject
